battle_time,mode,map,result_or_rank,trophy_change
20260915T200540.000Z,gemGrab,Double Swoosh,victory,
20260915T200249.000Z,bounty,Layer Cake,defeat,
20260915T195754.000Z,soloShowdown,Crossing the Coast,2,10
20260915T195633.000Z,soloShowdown,Crossing the Coast,6,2
20260915T195526.000Z,soloShowdown,Crossing the Coast,1,16
20260915T195342.000Z,soloShowdown,Crossing the Coast,1,15
20260915T195201.000Z,soloShowdown,Crossing the Coast,4,6
20260915T181146.000Z,soloShowdown,Crossing the Coast,1,23
20260915T180920.000Z,soloShowdown,Crossing the Coast,1,23
20260915T180334.000Z,soloShowdown,Crossing the Coast,1,22
20260915T180210.000Z,soloShowdown,Crossing the Coast,1,21
20260915T175851.000Z,soloShowdown,Crossing the Coast,4,12
20260915T175620.000Z,soloShowdown,Crossing the Coast,1,19
20260915T175423.000Z,soloShowdown,Crossing the Coast,1,18
20260915T175300.000Z,soloShowdown,Crossing the Coast,1,17
20260915T175118.000Z,soloShowdown,Crossing the Coast,3,11
20260915T175027.000Z,soloShowdown,Crossing the Coast,4,7
20260915T174829.000Z,soloShowdown,Crossing the Coast,1,14
20260915T174629.000Z,soloShowdown,Crossing the Coast,1,13
20260915T174535.000Z,soloShowdown,Crossing the Coast,9,-4
20260915T174502.000Z,soloShowdown,Crossing the Coast,3,11
20260915T115804.000Z,soloShowdown,Crossing the Coast,1,15
20260915T115542.000Z,soloShowdown,Crossing the Coast,1,14
20260915T115354.000Z,soloShowdown,Crossing the Coast,1,13
20260915T115240.000Z,soloShowdown,Crossing the Coast,7,-2
