timestamp,total_trophies,highest_trophies,brawlers_unlocked,exp_level,3v3_victories,solo_victories,duo_victories,club_name
2026-09-18T07:58:06+00:00,34267,34267,65,81,318,1258,166,Never Give Up
2026-09-18T08:15:45+00:00,34267,34267,65,81,318,1258,166,Never Give Up
2026-09-18T08:18:19+00:00,34267,34267,65,81,318,1258,166,Never Give Up
2026-09-18T08:23:54+00:00,34267,34267,65,81,318,1258,166,Never Give Up
2026-09-18T08:26:13+00:00,34267,34267,65,81,318,1258,166,Never Give Up
2026-09-18T09:26:10+00:00,34339,34339,65,81,320,1258,166,Never Give Up
2026-09-18T13:19:29+00:00,34408,34408,65,81,320,1258,166,Never Give Up
2026-09-19T12:06:03+00:00,34608,34608,65,82,322,1264,169,Never Give Up
2026-09-20T12:41:15+00:00,34886,34886,65,82,328,1278,169,Never Give Up
2026-09-21T14:36:50+00:00,35231,35231,66,82,334,1295,169,Never Give Up
2026-09-22T06:16:44+00:00,35259,35259,68,83,334,1297,169,Never Give Up
2026-09-22T12:53:11+00:00,35374,35374,68,83,338,1301,169,Never Give Up
2026-09-23T13:04:47+00:00,35664,35665,69,83,344,1316,169,LTY|GAMING 🇿🇦
2026-09-24T12:57:14+00:00,36502,36502,69,84,346,1342,169,LTY|GAMING 🇿🇦
