timestamp,brawler_id,brawler_name,trophies,highest_trophies,power,rank,gadgets_owned,star_powers_owned,hypercharge_owned
2026-09-18T07:58:06+00:00,16000000,SHELLY,521,521,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000001,COLT,550,550,7,3,1,0,0
2026-09-18T07:58:06+00:00,16000002,BULL,510,510,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000003,BROCK,545,545,7,3,0,0,0
2026-09-18T07:58:06+00:00,16000004,RICO,507,511,6,3,0,0,1
2026-09-18T07:58:06+00:00,16000006,BARLEY,503,503,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000007,JESSIE,505,515,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000008,NITA,1000,1025,11,5,2,2,1
2026-09-18T07:58:06+00:00,16000009,DYNAMIKE,506,511,6,3,0,0,1
2026-09-18T07:58:06+00:00,16000010,EL PRIMO,500,508,7,3,2,0,1
2026-09-18T07:58:06+00:00,16000011,MORTIS,754,754,9,4,2,2,0
2026-09-18T07:58:06+00:00,16000012,CROW,510,510,8,3,2,0,0
2026-09-18T07:58:06+00:00,16000013,POCO,504,504,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000014,BO,511,511,6,3,0,0,1
2026-09-18T07:58:06+00:00,16000015,PIPER,512,512,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000016,PAM,506,506,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000017,TARA,506,506,7,3,2,0,0
2026-09-18T07:58:06+00:00,16000018,DARRYL,770,784,9,4,2,2,0
2026-09-18T07:58:06+00:00,16000019,PENNY,514,514,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000020,FRANK,512,512,7,3,2,0,0
2026-09-18T07:58:06+00:00,16000022,TICK,501,501,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000024,ROSA,501,506,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000025,CARL,510,510,7,3,2,0,1
2026-09-18T07:58:06+00:00,16000026,BIBI,501,501,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000027,8-BIT,1011,1011,11,5,2,2,1
2026-09-18T07:58:06+00:00,16000029,BEA,502,502,7,3,1,0,1
2026-09-18T07:58:06+00:00,16000030,EMZ,751,751,9,4,2,2,1
2026-09-18T07:58:06+00:00,16000032,MAX,314,314,6,2,0,0,1
2026-09-18T07:58:06+00:00,16000034,JACKY,502,502,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000035,GALE,502,502,8,3,1,0,0
2026-09-18T07:58:06+00:00,16000036,NANI,509,509,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000037,SPROUT,15,15,6,1,0,0,1
2026-09-18T07:58:06+00:00,16000040,AMBER,753,753,9,4,2,2,0
2026-09-18T07:58:06+00:00,16000041,LOU,256,256,6,2,0,0,0
2026-09-18T07:58:06+00:00,16000043,EDGAR,1011,1011,9,5,1,2,0
2026-09-18T07:58:06+00:00,16000045,STU,500,500,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000048,GROM,13,13,6,1,0,0,0
2026-09-18T07:58:06+00:00,16000050,GRIFF,1002,1002,9,5,2,2,0
2026-09-18T07:58:06+00:00,16000051,ASH,507,507,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000053,LOLA,500,500,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000056,EVE,259,259,6,2,0,0,0
2026-09-18T07:58:06+00:00,16000058,BONNIE,507,507,6,3,0,0,1
2026-09-18T07:58:06+00:00,16000060,SAM,503,503,6,3,0,0,0
2026-09-18T07:58:06+00:00,16000061,GUS,505,505,7,3,0,0,1
2026-09-18T07:58:06+00:00,16000065,MANDY,333,333,6,2,0,0,0
2026-09-18T07:58:06+00:00,16000068,MAISIE,327,327,6,2,0,0,0
2026-09-18T07:58:06+00:00,16000074,CHARLIE,261,261,6,2,0,0,1
2026-09-18T07:58:06+00:00,16000077,LARRY & LAWRIE,0,0,6,1,0,0,0
2026-09-18T07:58:06+00:00,16000082,BERRY,0,0,6,1,0,0,0
2026-09-18T07:58:06+00:00,16000086,SHADE,1013,1013,8,5,1,0,0
2026-09-18T07:58:06+00:00,16000089,MEEPLE,504,504,7,3,1,0,0
2026-09-18T07:58:06+00:00,16000090,OLLIE,255,255,6,2,0,0,0
2026-09-18T07:58:06+00:00,16000091,LUMI,811,811,9,4,1,2,0
2026-09-18T07:58:06+00:00,16000092,FINX,1090,1093,9,5,1,2,0
2026-09-18T07:58:06+00:00,16000093,JAE-YONG,517,517,8,3,1,0,0
2026-09-18T07:58:06+00:00,16000094,KAZE,554,554,11,3,2,2,1
2026-09-18T07:58:06+00:00,16000095,ALLI,0,0,8,1,1,0,0
2026-09-18T07:58:06+00:00,16000096,TRUNK,261,262,6,2,0,0,0
2026-09-18T07:58:06+00:00,16000100,GIGI,313,313,6,2,0,0,0
2026-09-18T07:58:06+00:00,16000102,SIRIUS,906,906,11,4,1,2,0
2026-09-18T07:58:06+00:00,16000104,DAMIAN,157,157,7,1,2,0,0
2026-09-18T07:58:06+00:00,16000105,STARR NOVA,1016,1016,11,5,2,2,1
2026-09-18T07:58:06+00:00,16000106,BOLT,260,260,6,2,0,0,1
2026-09-18T07:58:06+00:00,16000107,NORI,1003,1003,11,5,1,2,1
2026-09-18T07:58:06+00:00,16000108,WENDY,1005,1005,11,5,1,2,1
2026-09-18T08:15:45+00:00,16000000,SHELLY,521,521,6,3,0,0,0
2026-09-18T08:15:45+00:00,16000001,COLT,550,550,7,3,1,0,0
2026-09-18T08:15:45+00:00,16000002,BULL,510,510,6,3,0,0,0
2026-09-18T08:15:45+00:00,16000003,BROCK,545,545,7,3,0,0,0
2026-09-18T08:15:45+00:00,16000004,RICO,507,511,6,3,0,0,1
2026-09-18T08:15:45+00:00,16000006,BARLEY,503,503,6,3,0,0,0
2026-09-18T08:15:45+00:00,16000007,JESSIE,505,515,6,3,0,0,0
2026-09-18T08:15:45+00:00,16000008,NITA,1000,1025,11,5,2,2,1
2026-09-18T08:15:45+00:00,16000009,DYNAMIKE,506,511,6,3,0,0,1
2026-09-18T08:15:45+00:00,16000010,EL PRIMO,500,508,7,3,2,0,1
2026-09-18T08:15:45+00:00,16000011,MORTIS,754,754,9,4,2,2,0
2026-09-18T08:15:45+00:00,16000012,CROW,510,510,8,3,2,0,0
2026-09-18T08:15:45+00:00,16000013,POCO,504,504,6,3,0,0,0
